,index,time,open,high,low,close,volume
4574,265300,2017-07-30 18:00:00,2710.97,2711.18,2709.99,2709.99,10166.391581
4575,265360,2017-07-30 19:00:00,2756.04,2756.05,2746.75,2750.0,113111.95982
4576,265418,2017-07-30 20:00:00,2718.15,2718.15,2712.0,2712.0,66065.880626
4577,265477,2017-07-30 21:00:00,2709.71,2709.71,2705.33,2705.33,26561.539957
4578,265527,2017-07-30 22:00:00,2739.52,2739.8,2731.25,2731.34,587.67630576
4579,265577,2017-07-30 23:00:00,2727.05,2733.65,2727.05,2733.65,4150.9846921
4580,265629,2017-07-31 00:00:00,2745.76,2745.77,2740.26,2745.24,763.07763676
4581,265686,2017-07-31 01:00:00,2721.22,2723.61,2716.32,2721.15,31160.013764
4582,265736,2017-07-31 02:00:00,2701.52,2702.81,2701.5,2702.81,1138.9444358
4583,265789,2017-07-31 03:00:00,2705.0,2705.99,2705.0,2705.99,141.23218233
4584,265837,2017-07-31 04:00:00,2709.0,2712.99,2704.02,2704.02,25358.204427
4585,265890,2017-07-31 05:00:00,2701.01,2702.4,2701.01,2702.4,188.33408877
4586,265933,2017-07-31 06:00:00,2716.98,2717.49,2712.96,2713.09,8060.4469931
4587,265991,2017-07-31 07:00:00,2723.77,2725.87,2723.77,2723.92,462.19850202
4588,266047,2017-07-31 08:00:00,2716.0,2719.64,2714.0,2719.3,1160.1471907
4589,266105,2017-07-31 09:00:00,2721.5,2721.71,2716.71,2721.45,13779.320671
4590,266165,2017-07-31 10:00:00,2708.21,2714.1,2703.75,2714.1,27667.993307
4591,266221,2017-07-31 11:00:00,2728.21,2732.01,2710.0,2715.89,284485.87432
4592,266278,2017-07-31 12:00:00,2768.99,2768.99,2759.23,2763.64,12689.050988
4593,266335,2017-07-31 13:00:00,2791.06,2792.23,2791.06,2792.23,21541.699933
4594,266395,2017-07-31 14:00:00,2755.0,2765.53,2755.0,2756.74,10488.066937
4595,266453,2017-07-31 15:00:00,2734.93,2734.93,2733.0,2734.93,2495.8130731
4596,266510,2017-07-31 16:00:00,2763.23,2763.24,2761.41,2762.0,13776.088881
4597,266570,2017-07-31 17:00:00,2768.07,2772.97,2768.07,2768.07,6788.6976087
4598,266629,2017-07-31 18:00:00,2779.77,2779.78,2779.77,2779.78,93.550297401
4599,266686,2017-07-31 19:00:00,2790.55,2793.25,2790.55,2790.55,1372.9681422
4600,266746,2017-07-31 20:00:00,2837.44,2837.44,2831.4,2831.4,38124.84426
4601,266806,2017-07-31 21:00:00,2885.2,2889.03,2883.51,2887.99,83317.290509
4602,266866,2017-07-31 22:00:00,2842.7,2851.89,2842.7,2851.89,49868.855241
4603,266920,2017-07-31 23:00:00,2843.38,2846.74,2841.01,2846.74,11637.8957
4604,266969,2017-08-01 00:00:00,2855.81,2855.81,2851.0,2853.36,16321.480817
4605,267013,2017-08-01 01:00:00,2823.01,2823.01,2822.09,2822.09,8776.9642948
